path,label
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Abuse028_x264_captions_janus_pro.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Abuse030_x264_captions_janus_pro.npy,Abuse
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arrest001_x264_captions_janus_pro.npy,Arrest
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arrest007_x264_captions_janus_pro.npy,Arrest
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arrest024_x264_captions_janus_pro.npy,Arrest
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arrest030_x264_captions_janus_pro.npy,Arrest
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arrest039_x264_captions_janus_pro.npy,Arrest
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson007_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson009_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson010_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson011_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson016_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson018_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson022_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson035_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Arson041_x264_captions_janus_pro.npy,Arson
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Assault006_x264_captions_janus_pro.npy,Assault
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Assault010_x264_captions_janus_pro.npy,Assault
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Assault011_x264_captions_janus_pro.npy,Assault
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary005_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary017_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary018_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary021_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary024_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary032_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary033_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary035_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary037_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary061_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary076_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary079_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Burglary092_x264_captions_janus_pro.npy,Burglary
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion002_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion004_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion007_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion008_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion010_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion011_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion013_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion016_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion017_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion020_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion021_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion022_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion025_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion027_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion028_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion029_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion033_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion035_x264_captions_janus_pro.npy,Explosion
../VAD_dataset/UCF-Crimes/UCF_Crimes/t5_Caption_Features_janus/Explosion036_x264_captions_janus_pro.npy,Explosion
